<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.27	08:00:00	1798.54	1815.15	1790.40	1810.20	28656	0	5
2025.04.27	12:00:00	1810.15	1813.26	1795.04	1796.88	28968	0	5
2025.04.27	16:00:00	1796.97	1808.53	1782.65	1796.07	32208	0	2
2025.04.27	20:00:00	1796.09	1809.13	1793.49	1803.22	14539	0	5
2025.04.28	00:00:00	1799.96	1807.87	1769.35	1774.21	17462	0	0
2025.04.28	04:00:00	1774.21	1794.55	1751.80	1788.24	19808	0	0
2025.04.28	08:00:00	1788.24	1812.80	1786.63	1810.06	16616	0	0
2025.04.28	12:00:00	1810.06	1827.99	1789.27	1807.71	21372	0	0
2025.04.28	16:00:00	1807.71	1811.47	1745.07	1758.52	33342	0	0
2025.04.28	20:00:00	1758.52	1804.82	1755.05	1786.23	22281	0	0
2025.04.29	00:00:00	1787.79	1806.25	1781.43	1802.38	16062	0	0
2025.04.29	04:00:00	1802.33	1811.63	1788.36	1792.80	21815	0	0
2025.04.29	08:00:00	1792.84	1835.94	1788.45	1833.04	22850	0	0
2025.04.29	12:00:00	1833.16	1843.17	1821.46	1822.34	23577	0	0
2025.04.29	16:00:00	1822.26	1832.70	1803.83	1816.62	30760	0	0
2025.04.29	20:00:00	1816.57	1830.34	1807.69	1808.90	23887	0	0
2025.04.30	00:00:00	1809.34	1813.30	1780.76	1805.85	22333	0	1
2025.04.30	04:00:00	1805.85	1813.28	1789.21	1812.33	21152	0	0
2025.04.30	08:00:00	1812.34	1812.74	1791.37	1795.55	16881	0	0
2025.04.30	12:00:00	1795.57	1817.13	1767.70	1775.70	22537	0	0
2025.04.30	16:00:00	1776.20	1776.63	1732.29	1767.77	37237	0	0
2025.04.30	20:00:00	1767.92	1809.56	1761.61	1794.33	28395	0	0
2025.05.01	00:00:00	1796.20	1800.62	1789.20	1797.76	18795	0	0
2025.05.01	04:00:00	1797.78	1818.97	1797.78	1809.20	18445	0	0
2025.05.01	08:00:00	1809.27	1820.28	1802.65	1817.89	15831	0	0
2025.05.01	12:00:00	1817.89	1859.46	1815.01	1849.38	26856	0	0
2025.05.01	16:00:00	1849.38	1873.79	1825.74	1860.16	31862	0	0
2025.05.01	20:00:00	1860.13	1865.50	1837.74	1840.06	21838	0	0
2025.05.02	00:00:00	1843.79	1850.78	1834.41	1847.88	23863	0	3
2025.05.02	04:00:00	1847.88	1852.01	1839.34	1841.90	22867	0	0
2025.05.02	08:00:00	1841.92	1844.53	1813.62	1824.18	25052	0	0
2025.05.02	12:00:00	1824.18	1843.64	1820.83	1841.75	20656	0	0
2025.05.02	16:00:00	1841.75	1871.55	1829.93	1853.37	24304	0	0
2025.05.02	20:00:00	1853.35	1856.22	1832.41	1847.36	21185	0	0
2025.05.03	00:00:00	1842.75	1847.33	1833.57	1839.17	26218	0	3
2025.05.03	04:00:00	1839.17	1841.44	1827.19	1839.04	28936	0	5
2025.05.03	08:00:00	1838.80	1839.64	1824.99	1827.38	14353	0	5
2025.05.03	12:00:00	1820.40	1833.21	1819.17	1830.04	15812	0	5
2025.05.03	16:00:00	1830.04	1840.59	1824.17	1827.90	19122	0	5
2025.05.03	20:00:00	1827.99	1840.38	1809.80	1839.28	11853	0	5
2025.05.04	00:00:00	1833.39	1849.23	1829.40	1837.05	26835	0	5
2025.05.04	04:00:00	1836.90	1849.63	1827.19	1831.54	37132	0	5
2025.05.04	08:00:00	1831.88	1850.77	1830.06	1831.52	36236	0	5
2025.05.04	12:00:00	1831.54	1836.12	1821.88	1830.53	31880	0	5
2025.05.04	16:00:00	1830.75	1834.17	1818.47	1828.05	33774	0	5
2025.05.04	20:00:00	1828.04	1843.08	1822.05	1836.66	29700	0	5
2025.05.05	00:00:00	1835.98	1837.39	1803.06	1815.75	20967	0	0
2025.05.05	04:00:00	1815.76	1817.20	1781.80	1804.72	24751	0	0
2025.05.05	08:00:00	1804.72	1831.44	1801.02	1828.40	20884	0	0
2025.05.05	12:00:00	1828.41	1830.63	1798.40	1805.63	21511	0	0
2025.05.05	16:00:00	1805.63	1815.81	1794.57	1807.65	29446	0	0
2025.05.05	20:00:00	1807.65	1828.13	1799.01	1808.63	24859	0	0
2025.05.06	00:00:00	1811.18	1832.71	1808.70	1813.84	15006	0	0
2025.05.06	04:00:00	1813.90	1820.65	1792.36	1806.68	15903	0	0
2025.05.06	08:00:00	1806.72	1809.04	1788.16	1801.27	14207	0	0
2025.05.06	12:00:00	1801.27	1801.52	1757.10	1774.81	24459	0	0
2025.05.06	16:00:00	1774.81	1779.11	1751.75	1762.53	32698	0	0
2025.05.06	20:00:00	1762.57	1798.48	1762.49	1775.07	27693	0	0
2025.05.07	00:00:00	1778.98	1847.59	1765.20	1842.14	27707	0	0
2025.05.07	04:00:00	1842.14	1849.78	1817.27	1828.17	17515	0	0
2025.05.07	08:00:00	1828.13	1844.07	1825.43	1840.52	14141	0	0
2025.05.07	12:00:00	1840.59	1846.99	1826.92	1830.64	19593	0	0
2025.05.07	16:00:00	1830.64	1835.12	1799.96	1812.00	27399	0	0
2025.05.07	20:00:00	1811.94	1816.94	1787.12	1798.40	32888	0	0
2025.05.08	00:00:00	1798.74	1828.20	1796.62	1826.97	22949	0	0
2025.05.08	04:00:00	1826.89	1916.35	1819.79	1893.93	30686	0	0
2025.05.08	08:00:00	1893.93	1946.59	1892.23	1935.25	21544	0	0
2025.05.08	12:00:00	1935.25	1977.35	1930.11	1960.03	23239	0	0
2025.05.08	16:00:00	1960.03	2075.70	1959.88	2050.65	39013	0	0
2025.05.08	20:00:00	2050.65	2198.99	2036.92	2185.09	38307	0	0
2025.05.09	00:00:00	2173.93	2225.20	2158.02	2200.72	30379	0	0
2025.05.09	04:00:00	2200.64	2244.98	2190.03	2213.57	23041	0	0
2025.05.09	08:00:00	2214.05	2489.95	2204.76	2412.56	39170	0	0
2025.05.09	12:00:00	2411.99	2423.83	2292.00	2339.52	46067	0	0
2025.05.09	16:00:00	2339.53	2388.17	2271.38	2297.92	42170	0	0
2025.05.09	20:00:00	2298.13	2355.02	2294.46	2340.24	34483	0	0
2025.05.10	00:00:00	2314.91	2381.57	2314.91	2326.38	23801	0	5
2025.05.10	04:00:00	2326.35	2355.23	2325.42	2337.03	32619	0	5
2025.05.10	08:00:00	2337.19	2378.98	2337.19	2367.51	18105	0	5
2025.05.10	12:00:00	2399.14	2420.85	2374.65	2408.54	14584	0	5
2025.05.10	16:00:00	2408.53	2474.71	2407.60	2462.15	30352	0	5
2025.05.10	20:00:00	2462.19	2512.14	2451.77	2491.18	34288	0	5
2025.05.11	00:00:00	2498.73	2606.28	2493.66	2544.00	37697	0	5
2025.05.11	04:00:00	2544.00	2566.10	2511.14	2545.33	37006	0	3
2025.05.11	08:00:00	2545.25	2562.65	2453.11	2481.53	31076	0	1
2025.05.11	12:00:00	2481.53	2535.79	2481.53	2515.98	23165	0	5
2025.05.11	16:00:00	2516.02	2529.69	2434.95	2471.68	29227	0	5
2025.05.11	20:00:00	2471.30	2526.51	2466.34	2511.53	21238	0	5
2025.05.12	00:00:00	2508.15	2546.13	2484.35	2531.78	25179	0	0
2025.05.12	04:00:00	2531.78	2548.47	2491.41	2518.62	25881	0	0
2025.05.12	08:00:00	2518.62	2624.23	2487.25	2577.75	34234	0	0
2025.05.12	12:00:00	2577.75	2582.74	2522.11	2549.97	36192	0	0
